Designator,Footprint,Quantity,Value,LCSC Part #
C1,0201,1,1uF,
C12,0201,1,10 uf,
"C13, C14",0201,2,10uF,
"C15, C16",0201,2,33pF,
"C17, C18, C19, C2, C3, C4",0201,6,0.1uF,
"C20, C21",0201,2,100 nf,
C45,0201,1,0.1 uf,
"D1, D4, D5",0201,3,LED,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"R1, R2",0201,2,33 R,
"R11, R12, R13, R5, R6",0201,5,1K,
"R3, R4",0201,2,50K,
R7,0201,1,10K,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23,1,MCP1700x-330xxTT,
U4,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ TR,
U5,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
U6,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
