Designator,Mid X,Mid Y,Rotation,Layer
C1,172.76,-92.69,0.0,top
C12,166.805,-99.93,180.0,top
C13,165.26,-66.535,90.0,top
C14,167.28,-70.66,180.0,top
C15,165.54,-91.555,270.0,top
C16,170.64,-91.095,90.0,top
C17,166.85,-76.36,180.0,top
C18,168.79,-99.36,0.0,top
C19,169.415,-93.17,0.0,top
C2,174.305,-92.7,0.0,top
C20,172.64,-91.0,0.0,top
C21,174.165,-91.01,0.0,top
C226,164.65,-78.27,180.0,top
C232,172.73,-78.27,90.0,top
C3,168.775,-100.3,0.0,top
C4,168.775,-101.19,0.0,top
C45,166.83,-100.72,180.0,top
C71,175.14,-76.52,90.0,top
C88,169.63,-88.02,180.0,top
C91,172.01,-78.255,90.0,top
D1,165.22,-71.035,270.0,top
D4,162.44,-90.315,90.0,top
D5,175.415,-83.53,180.0,top
J1,169.41,-60.785,180.0,top
J2,160.21,-84.0,0.0,top
J3,177.98926,-83.994869,0.0,top
J4,169.09926,-107.884869,90.0,top
R10,163.53,-92.56,90.0,top
R104,173.44,-86.854308,120.0,top
R11,167.28,-71.46,180.0,top
R12,162.45,-88.825,270.0,top
R13,173.955,-83.48,0.0,top
R14,175.44,-71.935,90.0,top
R145,174.8,-86.88,90.0,top
R15,164.99,-94.63,270.0,top
R3,171.23,-66.485,270.0,top
R4,167.75,-66.53,270.0,top
R5,169.175,-88.83,180.0,top
R6,165.515,-73.0,180.0,top
R7,167.855,-72.98,0.0,top
R81,169.95,-77.21,90.0,top
R91,170.95,-77.21,90.0,top
SW1,172.41,-74.77,90.0,top
SW3,173.95,-68.665,0.0,top
U1,168.7125,-82.82,90.0,top
U2,166.39,-68.2975,270.0,top
U4,166.95,-74.68,0.0,top
U5,168.07,-96.29,0.0,top
U6,173.355,-89.24,90.0,top
Y1,168.14,-91.02,180.0,top
